Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
Dairy Queen,[:blue_book:](https://www.dairyqueen.com/en-us/privacy-statement/),[:email:](mailto:privacy@idq.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/9d08013a-e357-4ab3-a62e-e4b11eb0e644/b847de5c-1ee6-4a3f-bfd9-eb2988280bcb.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Dominos,[:blue_book:](https://www.dominos.com/en/#!/content/privacy/),[:email:](mailto:privacy@dominos.com),[:memo:](https://www.dominos.com/en/pages/customer/#!/ccpa/),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
DoorDash,[:blue_book:](https://help.doordash.com/legal/document?type=cx-privacy-policy&region=US&locale=en-US),[:email:](mailto:privacy@doordash.com),,Account settings,:heavy_check_mark:,,,,,
Dunkin Donuts,[:blue_book:](https://www.dunkindonuts.com/en/privacy-policy),[:email:](mailto:customerservice@dunkinbrands.com),[:memo:](https://www.dunkindonuts.com/en/consumer-rights),Account settings,:heavy_check_mark:,,,:heavy_check_mark:,,
El Pollo Loco,[:blue_book:](https://www.elpolloloco.com/legal/#privacy),[:email:](mailto:privacy@elpolloloco.com),[:memo:](https://www.elpolloloco.com/legal/ccpa.html),TrustArc,:heavy_check_mark:,,,,,
Firehouse Subs,[:blue_book:](https://www.firehousesubs.com/privacy-policy/),[:email:](mailto:privacy@firehousesubs.com),[:memo:](https://submit-irm.trustarc.com/services/validation/972a7776-ef2e-47e6-966f-dc155d18a9d1),TrustArc,:heavy_check_mark:,,,,,
Five Guys,[:blue_book:](https://www.fiveguys.com/Privacy-Policy),[:email:](mailto:privacy@fiveguys.com),[:memo:](https://privacyportal.onetrust.com/webform/f5fbc500-6a08-4d16-b254-c0447470bd68/414493e2-5dbd-4831-b923-efd0ca6a4107),OneTrust,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
IHOP,[:blue_book:](https://www.ihop.com/en/legal/privacy-policy),[:email:](mailto:privacydesk@ihop.com),[:memo:](https://privacyportal.onetrust.com/webform/de9c8170-4f8f-4c2c-bad0-0878e7e40cf0/40940099-6df1-4b17-9e6b-0dfa196c31f8),OneTrust,:heavy_check_mark:,,,,,
In-n-Out,[:blue_book:](https://www.in-n-out.com/privacy-policy),[:email:](mailto:privacy@innout.com),,Email,:heavy_check_mark:,,,,,
Instacart,[:blue_book:](https://www.instacart.com/privacy),[:email:](mailto:customerprivacy@instacart.com),,Account settings,:heavy_check_mark:,:heavy_check_mark:,,,,
Jack in the Box,[:blue_book:](https://www.jackinthebox.com/privacy#privacy),[:email:](mailto:privacy@jackinthebox.com),[:memo:](https://privacyportal.onetrust.com/webform/f72e5ae6-9e91-47fa-88dc-2bd8c923eb94/a98731fa-583e-4150-a119-fb57432dca55),OneTrust,:heavy_check_mark:,,,,:heavy_check_mark:,
Jamba Juice,[:blue_book:](https://www.jamba.com/privacy),[:email:](mailto:privacy@jamba.com),[:memo:](https://jamba.truyo.com/consumer/index),Truyo,:heavy_check_mark:,,,:heavy_check_mark:,,
Jersey Mike’s,[:blue_book:](https://www.jerseymikes.com/privacy-policy),[:email:](mailto:privacy@jerseymikes.com),,Email,:heavy_check_mark:,,,:heavy_check_mark:,,
Jimmy John’s,[:blue_book:](https://www.jimmyjohns.com/privacy-policy/),[:email:](mailto:privacy@inspirebrands.com),[:memo:](https://jimmyjohns.truyo.com/consumer),Truyo,:heavy_check_mark:,,,:heavy_check_mark:,,
Kelloggs,[:blue_book:](https://www.kelloggcompany.com/en_US/privacy-policy.html),[:email:](mailto:PrivacyOfficer@kellogg.com),[:memo:](https://privacyportal.onetrust.com/webform/65056390-02bd-474c-8a30-eb7a3ba7562d/5d31cc6a-081e-4350-98f5-4d9242ac8c95),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
KFC,[:blue_book:](https://www.kfc.com/privacy-policy),[:email:](mailto:privacy@kfc.com),[:memo:](https://privacyportal.onetrust.com/webform/94ba57b5-e5fc-4459-a91d-28bc381b6185/df178a85-1bd4-4220-8db6-913a08d072e4),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Krispy Kreme,[:blue_book:](https://www.krispykreme.com/legal/privacy-policy),[:email:](mailto:accessibility@krispykreme.com),,Email,:heavy_check_mark:,,,,,
Little Caesars,[:blue_book:](https://littlecaesars.com/en-us/legal/privacy-policy/),[:email:](mailto:privacycnd@icecorp.com),[:memo:](https://privacyportal.onetrust.com/webform/71972d41-e6c5-47e0-abcb-0fae85906805/426e2e3f-ff1b-4671-a18c-8b42f290ab37),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Mars,[:blue_book:](https://www.mars.com/privacy),,[:memo:](https://privacyportal-eu-cdn.onetrust.com/dsarwebform/5f2759ff-9efe-412c-a3be-f13092d2c945/draft/9a93104f-e847-4c4b-85e8-dc821086d0cf.html),OneTrust,:heavy_check_mark:,,,,,
McDonalds,[:blue_book:](https://www.mcdonalds.com/us/en-us/privacy.html),[:email:](mailto:contact.privacy@us.mcd.com),[:memo:](https://privacyportal.onetrust.com/webform/beafaae6-1861-4a9a-ab0e-c20b9b2adc2a/32fc189f-428f-42f9-84ac-1b217926ed6c),OneTrust,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Olive Garden,[:blue_book:](https://www.olivegarden.com/privacy-policy),[:email:](mailto:privacy@darden.com),[:memo:](https://privacyportal.onetrust.com/webform/ba9aad07-e9b8-4a45-8cfa-96268092be69/d19cf2ee-2646-46a9-a49f-239ec4760dac),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Panda Express,[:blue_book:](https://www.pandaexpress.com/legal#privacy-policy),[:email:](mailto:guestcare@pandarg.com),[:memo:](https://privacyportal.onetrust.com/webform/fbcad385-5bbd-48ba-97d4-e5bcabcd10b9/90980e4c-bd28-4f50-82b3-d7c81a62c4ae),OneTrust,:heavy_check_mark:,,,,,
Panera,[:blue_book:](https://www.panerabread.com/en-us/legal/your-privacy.html),[:email:](mailto:privacy@panerabread.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/fc20682e-f5f6-4af8-b143-730cb76bc480/cab878cc-e9b3-42ac-8198-8d2ca70fb3dd.html),OneTrust,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Papa John’s,[:blue_book:](https://www.papajohns.com/privacy-policy.html),[:email:](mailto:privacy@papajohns.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/24528fbe-3e9a-4ba1-b316-39ca27517543/616bdf6f-852c-4b48-b91b-3edbbadbd74f.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Pepsico,[:blue_book:](https://www.pepsico.com/legal/privacy),,[:memo:](https://submit-irm.trustarc.com/services/validation/1d1278fc-851b-47d4-893d-c3b662f2425a),TrustArc,:heavy_check_mark:,,,,,
Pizza Hut,[:blue_book:](https://www.pizzahut.com/index.php#/privacy-policy),[:email:](mailto:privacypolicy@yum.com),[:memo:](https://privacyportal.onetrust.com/webform/94ba57b5-e5fc-4459-a91d-28bc381b6185/10629b8e-4a97-4eee-baef-555b78b65407),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Popeyes,[:blue_book:](https://www.popeyes.com/privacy-policy),[:email:](mailto:privacy@rbi.com),[:memo:](https://privacyportal-eu-cdn.onetrust.com/dsarwebform/7ae425dd-1c76-46b0-a1b4-2422a364fae3/draft/1d4481aa-204a-4cb5-a40a-82e4369d16b2.html),OneTrust,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Raising Canes,[:blue_book:](https://www.raisingcanes.com/privacy-policy/),,[:memo:](https://privacyportal.onetrust.com/webform/5b573564-ef93-4cc4-9448-fbd6ede4b5e8/c3a96827-3bdd-44a9-b69d-57ed6af6bbd9),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,
Shake Shack,[:blue_book:](https://shakeshack.com/privacy-policy),[:email:](mailto:privacy@shakeshack.com),[:memo:](https://privacyportal.onetrust.com/webform/b3a9f5b0-b5f6-4102-abbf-d87d74e3e6b9/cac2ba7b-1c93-45d7-99d9-47090e5928f1),OneTrust,:heavy_check_mark:,,,,,
Starbucks,[:blue_book:](https://www.starbucks.com/terms/privacy-policy/),[:email:](mailto:privacy@starbucks.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/f9975fc5-c93f-4ff8-8169-846d8f6cd4d2/dd7e8c8f-839f-4be3-9ebc-060786941e92.html),OneTrust,:heavy_check_mark:,,,,,
Subway,[:blue_book:](https://www.subway.com/en-DM/Legal/PrivacyStatement-FWH),[:email:](mailto:privacy@subway.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/7d120555-065a-4ef8-b127-16aa186c5df2/d863adc4-053e-4c18-9a90-8bf4ff7da6c4.html),OneTrust,:heavy_check_mark:,,,,,
Tim Hortons,[:blue_book:](https://timhortonsgcc.com/privacy-policy/),[:email:](mailto:support@timhortonsgcc.com),,Email,,,,,,
Uber Eats,[:blue_book:](https://www.uber.com/legal/es/document/?country=united-states&lang=en&name=privacy-notice),,,Account settings,:heavy_check_mark:,,,,,
Wendys,[:blue_book:](https://www.wendys.com/privacy-policy),[:email:](mailto:privacy@wendys.com),[:memo:](https://www.wendys.com/privacy-policy/privacy-requests),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Whataburger,[:blue_book:](https://whataburger.com/home/privacypolicy),,,Email,:heavy_check_mark:,,,,,
Wingstop,[:blue_book:](https://www.wingstop.com/privacy),[:email:](mailto:privacy@wingstop.com),[:memo:](https://privacyportal-eu.onetrust.com/webform/607a2afe-aa1a-4dfd-8b63-a64b4d563981/eb8cb848-4a00-4d70-aa80-9d7bc6b6f8fe),OneTrust,:heavy_check_mark:,,,,,
Yelp,[:blue_book:](https://terms.yelp.com/privacy/en_us/20220831_en_us/),[:email:](mailto:dataprotection@yelp.com),,Account settings,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,
Yogurtland,[:blue_book:](https://www.yogurt-land.com/privacy),[:email:](mailto:info@yogurt-land.com),,Email,:heavy_check_mark:,,,,,
Zaxby’s,[:blue_book:](https://www.zaxbys.com/legal/privacy-policy),[:email:](mailto:privacy@zaxbys.com),[:memo:](https://zaxbys.logicmanager.com/incidents/?t=18&p=1&k=031B4AF5197EC30A926F48CF40E11A7DBC470048A21E4003B7A3C07C5DAB1BAA),LogicManager,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
