Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
Oracle (Data Cloud),[:blue_book:](https://www.oracle.com/legal/privacy/),,[:memo:](https://www.oracle.com/legal/data-privacy-inquiry-form.html),TrustArc,:heavy_check_mark:,,,,,[:bar_chart:](https://www.oracle.com/legal/privacy/ccpa/)
People Data Labs,[:blue_book:](https://www.peopledatalabs.com/privacy/privacy-policy),[:envelope:](privacy@peopledatalabs.com),[:memo:](https://www.peopledatalabs.com/privacy/data-request-form),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.peopledatalabs.com/ccpa-metrics)
Postie,[:blue_book:](https://postie.com/privacy-policy/),[:envelope:](info@postie.com),[:memo:](https://optout.postie.com/ccpa_data.html),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://postie.com/do-not-sell-my-information/)
Quotient,[:blue_book:](https://www.quotient.com/privacy-policy/?src=quotient-privacypreference),[:envelope:](privacy@quotient.com),[:memo:](https://www.quotient.com/privacy-portal/),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.quotient.com/ccpa-metric/)
Reveal Mobile,[:blue_book:](https://revealmobile.com/privacy/),[:envelope:](privacy@revealmobile.com),[:memo:](https://revealmobile.com/ccpa/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://revealmobile.com/privacy/)
RR Donnelley,[:blue_book:](https://www.rrd.com/privacy-policy),[:envelope:](DataPrivacy@rrd.com),,Email,:heavy_check_mark:,,,,,[:bar_chart:](https://www.rrd.com/privacy-policy/ccpa-data-requests)
Semasio,[:blue_book:](https://www.semasio.com/privacy),[:envelope:](privacy@semasio.com),,Email,:heavy_check_mark:,,,,,[:bar_chart:](https://documents.semasio.com/?hs_preview=ggPpGmPJ-31309677598)
ShareThis,[:blue_book:](https://sharethis.com/privacy/),[:envelope:](privacy@sharethis.com),,Email,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://sharethis.com/privacy/#ccpa)
Sovrn,[:blue_book:](https://www.sovrn.com/privacy-policy/privacy-policy/),[:envelope:](privacy@sovrn.com),[:memo:](https://privacy.sovrn.com/data-rights-request),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.sovrn.com/privacy-policy/ccpa-metrics/)
The Trade Desk,[:blue_book:](https://www.thetradedesk.com/us/privacy),[:envelope:](privacy@thetradedesk.com),[:memo:](https://privacyportal-eu.onetrust.com/webform/2abc1a63-35c5-4ef7-b11b-1c55714738b5/61b81601-fe65-4dfe-a922-e1c5a68fa8cb),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://www.thetradedesk.com/us/california-privacy-disclosures)
Throtle,[:blue_book:](https://throtle.io/privacy/),[:envelope:](privacy@throtle.io),[:memo:](https://throtle.io/data-privacy-manager/request-to-know/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://throtle.io/yearly-ccpa-statistics/)
Transunion,[:blue_book:](https://www.transunion.com/privacy/transunion),,[:memo:](https://www.transunion.com/consumer-privacy),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://www.transunion.com/ccpa-metrics)
Unity (Ads & Analytics Manual),[:blue_book:](https://unity.com/legal/privacy-policy),[:envelope:](DPO@unity3d.com),,Email,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://unity.com/legal/privacy-report)
Video Amp,[:blue_book:](https://videoamp.com/privacy-policy/),[:envelope:](privacy@videoamp.com),[:memo:](https://videoamp.com/ccpa-web-form/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://videoamp.com/consumer-rights-under-ccpa/)
