Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
LG,[:blue_book:](https://privacy.us.lg.com/),[:envelope:](usprivacy@lge.com),[:memo:](https://privacy.us.lg.com/policies?modal=select-subject),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
LiveNation,[:blue_book:](https://help.livenation.com/s/article/Live-Nation-Entertainment-Privacy-Policy-Your-Privacy-Rights?language=en_US&tm_link=tm_i_privacy&tm_link=tm_i_privacy),[:envelope:](privacy@livenation.com),[:memo:](https://privacyportal.onetrust.com/webform/ba6f9c5b-dda5-43bd-bac4-4e06afccd928/b3c0feda-599b-43d9-ae70-2e33b14b3b6b),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://help.livenation.com/s/article/CCPA-Statistics?language=en_US)
MLB,[:blue_book:](https://www.mlb.com/official-information/privacy-policy),[:envelope:](dataprivacy@mlb.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/53a301ae-6882-46f9-af93-24f64f792aee/0b9faea2-b2d3-4f5d-84d2-1c523a648a05.html),OneTrust,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,,[:bar_chart:](https://www.mlb.com/official-information/privacy-policy)
NBA,[:blue_book:](https://www.nba.com/privacy-policy),[:envelope:](DataPrivacy@nba.com),[:memo:](https://privacyportal.onetrust.com/webform/4b9fe937-73ed-43ed-863a-241ac6bfb482/784f7dd4-5b8b-4569-8087-4560abeab57e),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://www.nba.com/dsar-reporting)
NBC Universal,[:blue_book:](https://www.nbcuniversal.com/privacy),,[:memo:](https://privacyportal.onetrust.com/webform/17e5cb00-ad90-47f5-a58d-77597d9d2c16/2aa79e13-e7d2-4d45-b928-7df9a72bec32),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://www.nbcuniversal.com/privacy/ccpa-metric)
Netflix,[:blue_book:](https://help.netflix.com/en/legal/privacy),[:envelope:](privacy@netflix.com),[:memo:](https://help.netflix.com/en/node/100624),Account settings,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
NFL,[:blue_book:](https://www.nfl.com/legal/privacy/),,[:memo:](https://privacyportal.onetrust.com/webform/46acd508-0e8d-40cd-af22-1a8bdfa6da60/8201a7af-1c5b-4692-9400-e1991d1bded9),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://www.nfl.com/legal/privacy/)
NHL,[:blue_book:](https://www.nhl.com/info/privacy-policy),,[:memo:](https://www.nhl.com/info/contact-us),Internal form,:heavy_check_mark:,,,,,
Pandora,[:blue_book:](https://www.pandora.com/privacy),[:envelope:](privacy@pandora.com),[:memo:](https://privacyportal.onetrust.com/webform/613d75ce-3c5b-4623-bcef-a0d3694b4214/072d9c72-9c02-45e8-b489-03bb23faf3c6),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.pandora.com/privacy/ccpa)
Paramount Plus,[:blue_book:](https://privacy.paramount.com/en/policy),,[:memo:](https://privacyportal.onetrust.com/webform/869be997-c257-4071-b658-a5427317b5c6/bda9b2b4-9be6-4f30-9d55-94b308f9af4d),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://privacy.paramount.com/metrics/ccpa/)
Peacock,[:blue_book:](https://www.nbcuniversal.com/privacy?brandA=Peacock&intake=Peacock),[:envelope:](privacy@nbcuni.com),[:memo:](https://privacyportal.onetrust.com/webform/17e5cb00-ad90-47f5-a58d-77597d9d2c16/2aa79e13-e7d2-4d45-b928-7df9a72bec32),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/)
Regal Cinema,[:blue_book:](https://www.regmovies.com/static/en/us/privacy),[:envelope:](privacy@regalcinemas.com),,Email,:heavy_check_mark:,,,,,
Roku,[:blue_book:](https://docs.roku.com/published/userprivacypolicy/en/us),[:envelope:](privacy@roku.com),[:memo:](https://privacy.roku.com/contact),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Samsung,[:blue_book:](https://www.samsung.com/us/account/privacy-policy/),[:envelope:](NAPrivacy@sea.samsung.com),[:memo:](https://www.samsung.com/us/privacy/ccpa/),Internal form,:heavy_check_mark:,,,,,
Soundcloud,[:blue_book:](https://soundcloud.com/pages/privacy),[:envelope:](dataprotection@soundcloud.com),[:memo:](https://help.soundcloud.com/hc/en-us/requests/new?ticket_form_id=477167),Internal form,:heavy_check_mark:,,,,,
Spotify,[:blue_book:](https://www.spotify.com/us/legal/privacy-policy/),[:envelope:](privacy@spotify.com),,Account settings,:heavy_check_mark:,,,,,[:bar_chart:](https://www.spotify.com/us/legal/privacy-policy/)
Starz,[:blue_book:](https://www.starz.com/us/en/privacy),[:envelope:](privacy@starz.com),[:memo:](https://submit-irm.trustarc.com/services/validation/ae459e19-429f-4e7e-bdd5-aae67f528d57),TrustArc,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
TCL,[:blue_book:](https://www.tcl.com/us/en/terms-privacy),[:envelope:](privacy.na@tcl.com),[:memo:](https://privacyportal-de.onetrust.com/webform/51a2e8fb-ad5e-4969-b97c-5405297554a1/7d87c8c8-ff83-4ec3-b300-b5f7cc0c4c64),OneTrust,:heavy_check_mark:,,,,,
Ticketmasker,[:blue_book:](https://help.ticketmaster.com/s/article/Ticketmaster-Privacy-Policy?language=en_US),[:envelope:](privacy@livenation.com),[:memo:](https://privacyportal.onetrust.com/webform/ba6f9c5b-dda5-43bd-bac4-4e06afccd928/a912475c-660e-40a7-b320-844ea439062a),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://help.livenation.com/s/article/CCPA-Statistics?language=en_US)
Tubi,[:blue_book:](https://tubitv.com/static/privacy),,[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/8d9cb670-94ff-4659-969d-6b15fd288fcc/6a65e472-7808-4dab-b885-0020d4ed9469.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Twitch.tv,[:blue_book:](https://www.twitch.tv/p/en/legal/state-specific-privacy-disclosures/),[:envelope:](privacy@twitch.tv),[:memo:](https://help.twitch.tv/s/contactsupport),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Viacom CBS,[:blue_book:](https://www.viacomcbsprivacy.com/en/policy),,[:memo:](https://privacy.paramount.com/privacyrightscenter),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://www.viacomcbsprivacy.com/metrics/ccpa/)
Vimeo,[:blue_book:](https://vimeo.com/privacy),[:envelope:](privacy@vimeo.com),[:memo:](https://vimeo.com/help/contact?category=cf_account&subcategory=cf_privacy_related_request),Internal form,:heavy_check_mark:,,,,,
Vizio,[:blue_book:](https://www.vizio.com/en/terms/privacy-policy),[:envelope:](privacy@vizio.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/41aebd10-58ee-4c98-9dd5-aa66c9be664a/0099df9c-c0aa-4bf7-bd5f-7f4ff46768f6.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Warner Brothers,[:blue_book:](https://policies.warnerbros.com/privacy/en-us/),[:envelope:](wmprivacy@warnermedia.com),[:memo:](https://www.warnermediaprivacy.com/request/),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.warnermediaprivacy.com/ccpa-metrics/)
